2025-06-17 21:53:34.202 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:532] Initializing com.liferay.site.initializer.welcome for group 39018
2025-06-17 21:53:34.209 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addSiteSettings took 1 ms
2025-06-17 21:53:34.209 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateDepotEntries took 0 ms
2025-06-17 21:53:34.213 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateRoles took 3 ms
2025-06-17 21:53:34.214 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateDataDefinitions took 0 ms
2025-06-17 21:53:34.214 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking setPLOEntries took 0 ms
2025-06-17 21:53:34.214 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addStyleBookEntries took 0 ms
2025-06-17 21:53:34.214 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateDDMStructures took 0 ms
2025-06-17 21:53:34.214 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateObjectFolders took 0 ms
2025-06-17 21:53:34.288 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateLayouts took 74 ms
2025-06-17 21:53:34.289 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateUserGroups took 0 ms
2025-06-17 21:53:34.290 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateSAPEntries took 0 ms
2025-06-17 21:53:34.290 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateTaxonomyVocabularies took 0 ms
2025-06-17 21:53:34.291 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addKeywords took 0 ms
2025-06-17 21:53:34.291 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addAccountGroups took 0 ms
2025-06-17 21:53:34.291 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateExpandoColumns took 0 ms
2025-06-17 21:53:34.292 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateListTypeDefinitions took 0 ms
2025-06-17 21:53:34.294 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking updateLayoutSets took 2 ms
2025-06-17 21:53:34.295 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addSiteConfiguration took 1 ms
2025-06-17 21:53:34.295 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addAccounts took 0 ms
2025-06-17 21:53:34.295 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addWorkflowDefinitions took 0 ms
2025-06-17 21:53:34.295 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateSXPBlueprint took 0 ms
2025-06-17 21:53:34.877 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateDocuments took 582 ms
2025-06-17 21:53:34.878 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addAccountGroupAssignments took 0 ms
2025-06-17 21:53:34.878 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addPortletSettings took 0 ms
2025-06-17 21:53:34.878 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateKnowledgeBaseArticles took 0 ms
2025-06-17 21:53:34.879 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateOrganizations took 0 ms
2025-06-17 21:53:34.879 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateBlogPostings took 0 ms
2025-06-17 21:53:34.879 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addFragmentEntries took 0 ms
2025-06-17 21:53:34.879 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addUserAccounts took 0 ms
2025-06-17 21:53:34.880 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateAssetLinkEntries took 0 ms
2025-06-17 21:53:34.880 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addRolesAssignments took 0 ms
2025-06-17 21:53:34.880 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addAccountsOrganizations took 0 ms
2025-06-17 21:53:34.881 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateClientExtensionEntries took 0 ms
2025-06-17 21:53:34.881 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addObjectDefinitions took 0 ms
2025-06-17 21:53:34.881 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateSegmentsEntries took 0 ms
2025-06-17 21:53:34.882 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addUserRoles took 0 ms
2025-06-17 21:53:34.882 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateObjectRelationships took 0 ms
2025-06-17 21:53:34.882 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateObjectFields took 0 ms
2025-06-17 21:53:34.882 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking publishObjectDefinitions took 0 ms
2025-06-17 21:53:34.882 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateAccountEntryRestrictions took 0 ms
2025-06-17 21:53:34.883 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addAssetListEntries took 0 ms
2025-06-17 21:53:34.883 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateObjectActions took 0 ms
2025-06-17 21:53:34.899 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateDDMTemplates took 16 ms
2025-06-17 21:53:34.900 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateObjectEntries took 0 ms
2025-06-17 21:53:34.900 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addCPDefinitions took 0 ms
2025-06-17 21:53:34.900 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateNotificationTemplates took 0 ms
2025-06-17 21:53:34.900 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateJournalArticles took 0 ms
2025-06-17 21:53:34.901 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addLayoutPageTemplates took 0 ms
2025-06-17 21:53:35.560 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addLayoutUtilityPageEntries took 659 ms
2025-06-17 21:53:35.587 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateLayoutsContent took 27 ms
2025-06-17 21:53:35.588 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addExpandoValues took 0 ms
2025-06-17 21:53:35.588 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addSegmentsExperiences took 0 ms
2025-06-17 21:53:35.588 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5678] Invoking addOrUpdateResourcePermissions took 0 ms
2025-06-17 21:53:35.589 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:550] Initialized com.liferay.site.initializer.welcome for group 39018 in 1387 ms
2025-06-17 21:53:39.197 INFO  [http-nio-8080-exec-10][BatchEngineImportTaskExecutorImpl:95] Started batch engine import task 103
2025-06-17 21:53:40.851 INFO  [http-nio-8080-exec-10][BatchEngineImportTaskExecutorImpl:176] Finished batch engine import task 103 in 1653ms
2025-06-17 21:57:29.036 INFO  [http-nio-8080-exec-6][FileSystemKeyStoreManagerImpl:57] Creating a new SAML keystore at /opt/liferay/data/keystore.jks
